mfcc	contrast	centriod	emotion
"[[-7.2749493e+02 -7.2749493e+02 -7.2749493e+02 ... -7.2624518e+02
  -7.2674225e+02 -7.2749493e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.7632227e+00
   1.0592451e+00  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.7506671e+00
   1.0436175e+00  0.0000000e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.3720429e+00
   6.2331516e-01  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.2949977e+00
   5.4936361e-01  0.0000000e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.2128980e+00
   4.7463888e-01  0.0000000e+00]]"	"[[1.31812099e+01 1.31812099e+01 9.85646858e-03 ... 1.37248897e+01
  6.89715557e+00 5.12367076e+00]
 [1.31812099e+01 1.31812099e+01 1.01359476e-02 ... 5.29931228e+00
  2.81920128e+00 7.73552658e+00]
 [1.31812099e+01 1.31812099e+01 1.02766705e-02 ... 9.84546492e+00
  6.91868696e+00 4.29654510e+00]
 ...
 [1.31812099e+01 1.31812099e+01 1.05605502e-02 ... 1.16879256e+01
  1.41837569e+01 1.01506794e+01]
 [1.31812099e+01 1.31812099e+01 1.05564009e-02 ... 1.34202940e+01
  1.24059496e+01 1.01784590e+01]
 [1.31812099e+01 1.31812099e+01 2.82519017e+01 ... 3.73975417e+01
  2.00994241e+01 1.51734022e+01]]"	"[[-0.04446219 -0.03739235 -0.03413293 ... -0.05715613 -0.07746405
  -0.0758626 ]
 [ 0.03612856  0.03480146  0.03981656 ... -0.06063907 -0.05953722
  -0.04735995]
 [ 0.09196166  0.10365806  0.10401439 ...  0.07225741  0.0720289
   0.09097149]
 [-0.0153891  -0.02072467 -0.02298976 ... -0.09333972 -0.09815558
  -0.08207598]
 [-0.01685256 -0.01949626 -0.01913947 ...  0.00975615  0.0128856
   0.00065258]
 [ 0.03054482  0.02825197  0.02757833 ...  0.03674194  0.04390984
   0.04495351]]"	anger
"[[-7.2364490e+02 -7.2364490e+02 -7.2364490e+02 ... -7.1954059e+02
  -7.2074329e+02 -7.2331061e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  5.6568880e+00
   3.9754329e+00  4.7266167e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  5.2309799e+00
   3.6073189e+00  4.7255489e-01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  2.5414920e-01
   7.0677072e-02  4.6914238e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.7555522e-01
   4.1605425e-01  4.6839696e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.7628247e-01
   9.2991084e-01  4.6758196e-01]]"	"[[18.17250692 18.17250692 18.17250692 ... 16.54535926  9.00138665
   7.8215952 ]
 [18.17250692 18.17250692 18.17250692 ...  8.14917903  8.52687947
   6.58115693]
 [18.17250692 18.17250692 18.17250692 ...  9.97352908 16.42733483
   8.76987159]
 ...
 [18.17250692 18.17250692 18.17250692 ... 13.11202138 14.34662849
  11.04428511]
 [18.17250692 18.17250692 18.17250692 ... 12.97326032 16.39001804
  14.67875285]
 [18.17250692 18.17250692 18.17250692 ... 35.83975795 22.83529261
  16.79417826]]"	"[[ 0.0571035  -0.05714136 -0.03027458 ... -0.01938184 -0.01642106
  -0.00607686]
 [ 0.03580692 -0.03115405 -0.03178568 ... -0.00616301 -0.00954313
  -0.01238252]
 [-0.06732952 -0.06776923 -0.05205834 ... -0.02725217 -0.02691769
  -0.03139903]
 [ 0.01351005 -0.00643401 -0.01074874 ...  0.06931801  0.07534007
   0.06806685]
 [-0.0181177  -0.04737421 -0.04861416 ...  0.00910606  0.01543948
   0.02739057]
 [ 0.0537955   0.05942998  0.06811924 ... -0.02200806 -0.0242961
  -0.02319967]]"	anger
"[[-8.10872375e+02 -7.91372620e+02 -8.08630249e+02 ... -6.63961609e+02
  -6.85518921e+02 -7.34924683e+02]
 [ 3.46691589e+01  4.12122917e+01  3.49894485e+01 ...  9.89201050e+01
   1.00623947e+02  9.69788284e+01]
 [ 6.67098665e+00  7.47090054e+00  7.56956625e+00 ... -1.56847935e+01
  -7.21660423e+00  4.31336498e+00]
 ...
 [-8.65767765e+00 -8.63034439e+00 -1.19709215e+01 ... -3.41475534e+00
   1.02101183e+00  2.20822382e+00]
 [-1.14625225e+01 -9.42081070e+00 -1.10841885e+01 ...  6.63500881e+00
   7.10368919e+00  1.72507057e+01]
 [-5.73994303e+00 -5.50714493e-01 -4.80924702e+00 ...  1.31305389e+01
   1.10584822e+01  1.14276962e+01]]"	"[[ 9.07119171  8.08830796 17.70221027 ... 22.97918242 18.11107973
  12.15933929]
 [10.60369997 13.01733487  8.49851531 ...  5.85904184  6.59017991
   4.47568064]
 [18.32743966  9.99196555 16.60563252 ...  9.66968425  9.45691968
   7.35942393]
 ...
 [19.38219539 14.98105686 12.32932293 ... 17.55951348 15.40210206
  17.01068924]
 [15.76742014 14.85677383 13.6472679  ... 15.09729472 16.77591192
  16.05553236]
 [22.02019182 26.2135022  41.05363475 ... 44.59746317 20.79703622
  17.3338556 ]]"	"[[-0.03462462 -0.03355487 -0.02955974 ...  0.02169047  0.01243332
   0.0086006 ]
 [-0.0038483   0.00310758 -0.00116003 ... -0.02199586 -0.02978643
  -0.03247124]
 [-0.03072678 -0.03808077 -0.03559581 ... -0.07229512 -0.07592762
  -0.06548785]
 [-0.00212781  0.00973462  0.03245686 ...  0.01449157  0.03998972
   0.01901772]
 [-0.00228696  0.00771729  0.0033394  ...  0.01651388  0.0182598
   0.02606658]
 [-0.00406152  0.00102706  0.00042573 ... -0.02313272 -0.0219111
  -0.02480263]]"	anger
"[[-7.0377124e+02 -7.0377124e+02 -7.0377124e+02 ... -7.0350409e+02
  -7.0297382e+02 -7.0301013e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.7502956e-01
   1.1204906e+00  1.0685966e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  3.6670774e-01
   1.0988975e+00  1.0453933e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.3254613e-01
   4.8336825e-01  3.9908245e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  8.9113526e-02
   3.6708754e-01  2.8074449e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  4.4512380e-02
   2.4677071e-01  1.5979534e-01]]"	"[[16.29790184 16.29790184 16.29790184 ...  9.84338574  8.29617728
   4.73249408]
 [16.29790184 16.29790184 16.29790184 ...  5.70226241  8.49153242
   5.94187297]
 [16.29790184 16.29790184 16.29790184 ...  8.9928253  12.35458792
  10.42628763]
 ...
 [16.29790184 16.29790184 16.29790184 ... 12.34789195 14.03390043
  13.44728551]
 [16.29790184 16.29790184 16.29790184 ... 15.09965559 13.31610221
  14.53774755]
 [16.29790184 16.29790184 16.29790184 ... 37.63944431 20.29307778
  15.69897912]]"	"[[ 0.033913    0.02939008  0.07849442 ... -0.01073782  0.00943605
   0.00619764]
 [-0.03138732 -0.03928637 -0.03743923 ...  0.04254085  0.03913018
   0.07175392]
 [ 0.02618703 -0.00774201 -0.01068497 ... -0.03822077 -0.02981436
  -0.02964612]
 [-0.01454369 -0.01589392 -0.0481368  ...  0.0500171   0.03704531
   0.042036  ]
 [-0.01582099 -0.02211901  0.00686838 ... -0.00454496  0.00077746
   0.00108632]
 [-0.01474777 -0.02810986 -0.00729595 ... -0.01298115 -0.01035069
  -0.0117934 ]]"	anger
"[[-734.4998    -735.323     -735.0815    ... -714.8499    -725.0453
  -728.88336  ]
 [   2.8840902    1.7228004    2.0644956 ...   26.568575    15.017397
    10.489267 ]
 [   2.873262     1.7207787    2.062625  ...   16.693466    11.822279
     9.561729 ]
 ...
 [   2.5428996    1.656806     2.0033576 ...    8.137848     7.5714903
     5.988119 ]
 [   2.474661     1.6429958    1.9905411 ...    8.276755     7.3249855
     5.5344276]
 [   2.401517     1.6279454    1.9765618 ...    8.542538     6.5634623
     4.661487 ]]"	"[[ 5.31817237 10.02329259 22.52095233 ...  8.63195503 10.50662029
   5.12543642]
 [ 5.30985144  8.02858401  4.31411593 ...  7.98744606 11.63028064
   7.48718844]
 [ 2.92732629  6.97198773 14.39286392 ... 14.25041391 13.20883075
  10.44774551]
 ...
 [12.44074069 11.2993967   9.21682834 ... 10.66689338 14.91680123
  12.47760637]
 [11.6556015  12.74403489 13.89600779 ... 12.23967135 14.20781546
  13.66551853]
 [25.96905858 29.71817721 37.37839878 ... 36.10832933 20.93439502
  16.41097462]]"	"[[-0.01661589 -0.01112102 -0.0055466  ...  0.00844453 -0.00211819
  -0.00058627]
 [ 0.01202226  0.00975864  0.00660079 ... -0.00994365 -0.01402487
  -0.00597491]
 [ 0.08139406  0.07330112  0.06827691 ... -0.09849651 -0.09931086
  -0.09377649]
 [ 0.03207712  0.03412039  0.02823509 ... -0.01015489 -0.00608177
   0.00176409]
 [ 0.05887587  0.06392752  0.06508484 ...  0.02488858  0.02997482
   0.02675953]
 [-0.00569319 -0.0025538  -0.00422353 ... -0.00402731  0.00206925
   0.00320394]]"	anger
"[[-9.08494202e+02 -8.98515381e+02 -8.99042908e+02 ... -7.41140076e+02
  -7.49817505e+02 -7.81305481e+02]
 [ 5.95732784e+00  1.70051689e+01  1.58364239e+01 ...  1.52634674e+02
   1.44307465e+02  1.22744461e+02]
 [ 5.94499111e+00  1.27895126e+01  1.13172245e+01 ...  6.42801819e+01
   6.34000854e+01  5.42717590e+01]
 ...
 [ 5.56010151e+00  8.18958092e+00  8.60894585e+00 ... -9.35671425e+00
  -9.66250515e+00 -1.01510782e+01]
 [ 5.47842026e+00  8.87150574e+00  1.08507433e+01 ...  4.99985009e-01
   3.40876222e+00  6.16664028e+00]
 [ 5.38997316e+00  9.55934334e+00  1.17015524e+01 ...  1.21979418e+01
   1.16612816e+01  1.12191830e+01]]"	"[[13.80064913 15.91619908 17.59147661 ...  7.79833071  7.38867323
   9.32784976]
 [ 8.61310246  7.12744065  7.11105046 ... 11.0806556   2.30448928
   7.0518982 ]
 [10.93962946 11.51914936 17.33651077 ... 11.61034026 16.95079832
  10.87110181]
 ...
 [13.86379754 11.36019677 10.82376189 ... 16.04389065 13.92318019
  17.0201375 ]
 [14.59082402 14.52467581 14.67889881 ... 18.8324145  20.33225389
  17.3272428 ]
 [35.08908975 36.15433045 35.43056573 ... 38.23817914 23.03370907
  18.50562197]]"	"[[-0.04886331 -0.03870828 -0.04087303 ... -0.08210944 -0.07785366
  -0.07501107]
 [ 0.03063731  0.02552841  0.02047507 ...  0.00240743 -0.02253414
  -0.04107673]
 [-0.02989877 -0.03322961 -0.03017126 ...  0.11622555  0.09998504
   0.10235021]
 [ 0.04911947  0.03689     0.05038793 ... -0.05159999 -0.05173607
  -0.05366166]
 [-0.00863295 -0.01069995 -0.01262531 ...  0.03762745  0.02543235
   0.02145765]
 [-0.01108711 -0.00411226 -0.0122027  ...  0.05644481  0.05965675
   0.055688  ]]"	disgusted
"[[-775.80835   -775.80835   -775.80835   ... -738.63586   -742.335
  -758.1985   ]
 [   0.           0.           0.        ...   36.128292    34.536575
    19.160004 ]
 [   0.           0.           0.        ...    7.7646236   10.830849
     6.85485  ]
 ...
 [   0.           0.           0.        ...   -1.629037     4.0844154
     3.165787 ]
 [   0.           0.           0.        ...    7.68442     10.067093
     6.478577 ]
 [   0.           0.           0.        ...    4.062682     4.833543
     5.728134 ]]"	"[[13.72738064 13.72738064 13.72738064 ... 10.2439152  19.41949152
   9.4178884 ]
 [13.72738064 13.72738064 13.72738064 ... 10.44666518  5.97865903
   6.477226  ]
 [13.72738064 13.72738064 13.72738064 ...  9.6840946  10.66645331
   8.04813676]
 ...
 [13.72738064 13.72738064 13.72738064 ... 15.24112867 15.1948971
  14.99717942]
 [13.72738064 13.72738064 13.72738064 ... 17.75164252 16.37848965
  14.83641136]
 [13.72738064 13.72738064 13.72738064 ... 38.73431849 35.40728476
  32.81125559]]"	"[[ 0.022343    0.07205453  0.04074774 ... -0.00299484 -0.00434569
  -0.01000354]
 [-0.07085245 -0.08310555 -0.10195739 ... -0.00214687  0.00856678
   0.01267468]
 [ 0.10431955  0.10899638  0.13207557 ...  0.01416443 -0.00371067
  -0.03290302]
 [ 0.00920829  0.03360151  0.04584915 ... -0.01630454 -0.02060632
  -0.0263643 ]
 [-0.00449826 -0.01419403 -0.00897105 ... -0.01387981 -0.01012803
  -0.01402113]
 [-0.02609842 -0.02884848 -0.03951216 ...  0.01487147  0.00428339
   0.00180446]]"	disgusted
"[[-581.71765   -553.5084    -557.1277    ... -513.86053   -504.58618
  -519.76306  ]
 [ 120.172775   128.91185    122.55551   ...  103.46893     88.46319
    82.99804  ]
 [ -48.09974    -54.947685   -61.173813  ...    6.7026243   -5.9407873
   -14.837512 ]
 ...
 [   3.0570178    3.7739854   10.027393  ...   -5.4814854   -8.666201
    -2.734427 ]
 [   1.928987    10.016487    13.956703  ...   12.508576     7.3495207
     2.848353 ]
 [   8.374207    12.5645685    9.702001  ...   27.67942     26.257507
    21.01559  ]]"	"[[ 6.01343691 10.90994881  9.68293772 ... 24.11835323 10.91443309
   4.34381793]
 [ 8.42190143  7.73544483  9.85338039 ...  8.20783946  7.74092045
   2.86362857]
 [12.00988651 12.34726878 16.46330564 ...  7.14330374  6.49963387
  11.19228753]
 ...
 [17.06436005 17.23583644 17.20477992 ... 22.80216586 14.35096705
  14.03170106]
 [17.82367386 21.9173681  21.01491452 ... 19.15250558 17.65240312
  16.74763573]
 [24.6718377  29.5516583  46.79928779 ... 50.84984578 27.37570922
  27.61580912]]"	"[[ 0.05295358  0.00999078  0.01603617 ... -0.02611564 -0.00071759
   0.01325884]
 [ 0.01144011  0.02344425  0.05280616 ...  0.03412001  0.00599286
   0.00774424]
 [ 0.02716273  0.04695614  0.05605558 ...  0.03212913  0.0238509
   0.02510013]
 [-0.04745176 -0.040086   -0.07770688 ... -0.02731189 -0.03019257
  -0.02724204]
 [ 0.00274876  0.0102185   0.0123618  ... -0.0120622  -0.0064341
  -0.0080781 ]
 [-0.04850488 -0.03659679 -0.02083069 ...  0.00142263  0.00026266
   0.00742777]]"	disgusted
"[[-8.2494672e+02 -8.2494672e+02 -8.2494672e+02 ... -8.1259119e+02
  -8.1194934e+02 -8.2327356e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.6133804e+01
   1.6825708e+01  2.3178382e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  1.2803274e+01
   1.2891994e+01  2.1757741e+00]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.5289962e-02
  -4.4170577e-02 -3.9301789e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.5630518e-01
  -1.2626560e+00 -5.8784616e-01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -8.3317429e-02
  -1.6079030e+00 -7.0557803e-01]]"	"[[13.79295933 13.79295933 13.79295933 ...  7.94794629  9.39842348
   8.83785325]
 [13.79295933 13.79295933 13.79295933 ... 11.7147235   5.51620962
   6.1331193 ]
 [13.79295933 13.79295933 13.79295933 ... 11.57615907  7.98901517
   9.75664174]
 ...
 [13.79295933 13.79295933 13.79295933 ... 15.08384814 14.03017873
   9.78831763]
 [13.79295933 13.79295933 13.79295933 ... 11.42877273 11.48215634
  13.03751157]
 [13.79295933 13.79295933 13.79295933 ... 39.95835409 21.69600557
  15.87968704]]"	"[[ 0.03336909  0.0186168  -0.00411754 ... -0.01590601  0.0040494
   0.0024674 ]
 [-0.07234945 -0.07705845 -0.04167854 ...  0.01163187  0.00378713
   0.00628996]
 [ 0.05140695  0.06582634  0.04710923 ... -0.06176298 -0.07780012
  -0.08135996]
 [-0.00128727  0.03018755  0.09419896 ... -0.04101889 -0.05109698
  -0.055112  ]
 [-0.0172901  -0.03821248 -0.01950384 ...  0.02374661  0.02149441
   0.0220585 ]
 [ 0.01898265  0.0121777   0.03942687 ... -0.00197978 -0.00167502
   0.0035271 ]]"	disgusted
"[[-8.4734686e+02 -8.4734686e+02 -8.4734686e+02 ... -7.8117767e+02
  -7.9354150e+02 -8.0880548e+02]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  5.8366238e+01
   5.1851810e+01  4.1459564e+01]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -2.8599423e-01
   9.3256254e+00  1.6535440e+01]
 ...
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -4.1090477e-01
   2.5927792e+00  1.0617583e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  6.0854163e+00
   8.4043913e+00  4.0936503e+00]
 [ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  7.1054578e+00
   6.8758154e+00  3.2165520e+00]]"	"[[10.42867679  4.12615357  6.6032593  ...  9.74295606  7.98106498
   6.5553249 ]
 [ 7.2027636   3.54128037  4.67097945 ...  7.60152325  6.23346609
   3.80313226]
 [ 5.01136927  6.83056173 12.34282091 ... 13.11321239  7.0857627
   6.76594184]
 ...
 [ 4.75848809 14.57634175  8.92782486 ... 12.22218392 14.20636413
  17.65656547]
 [ 5.39843772 12.371631   13.55279831 ... 16.20300595 10.92845332
  14.77597955]
 [33.24961887 36.58368176 37.19599933 ... 36.07531364 27.45305003
  22.88085331]]"	"[[-0.02176    -0.02325484 -0.02527511 ... -0.01286501 -0.00284656
  -0.01761124]
 [-0.01306134 -0.01609055 -0.01890735 ... -0.04551253 -0.01488515
  -0.02660213]
 [-0.02944347 -0.02959979 -0.02844259 ... -0.00553107 -0.00030412
  -0.0094653 ]
 [ 0.00587674  0.00428521  0.00291299 ... -0.03732701 -0.01312578
  -0.01873802]
 [-0.01285849 -0.01278141 -0.01283948 ...  0.00666131  0.00418292
   0.0008031 ]
 [ 0.00995743  0.0103862   0.01071871 ... -0.00594636 -0.01263598
  -0.00595934]]"	disgusted
"[[-819.6373    -822.45667   -825.03503   ... -822.5556    -823.0253
  -826.569    ]
 [  11.261948     7.294689     3.6978111 ...    6.913809     6.4287086
     1.530111 ]
 [  11.058264     7.163805     3.6912432 ...    6.285284     6.1821027
     1.5281875]
 ...
 [   7.046283     6.2537165    3.487032  ...    5.378214     5.51813
     1.4672817]
 [   6.5020742    6.2590904    3.4438658 ...    5.6975503    5.5702825
     1.4541228]
 [   5.9880714    6.270564     3.397193  ...    6.192316     5.684868
     1.4397725]]"	"[[10.35163374 15.31409676 12.16186465 ... 17.88033692 12.93620018
   9.57930911]
 [ 3.17660986  5.70395749 13.54060043 ...  3.26127156 12.72141623
   3.20216862]
 [12.84834697  9.6755967   9.7049317  ...  8.10627741  7.07888608
   7.29965617]
 ...
 [10.46240872 15.515736   13.16495455 ... 11.23607558 11.60662577
  12.89499456]
 [12.53555358 16.23257527 12.86031205 ... 13.84104926 14.63918473
  11.68344262]
 [15.37609175 19.53420091 37.0740218  ... 37.97211749 28.05363623
  21.36534096]]"	"[[-0.0080021  -0.00592499 -0.00181012 ... -0.05743424 -0.06252082
  -0.06007426]
 [-0.0576355  -0.06698827 -0.05528757 ...  0.01109764  0.00134594
   0.00651622]
 [ 0.10085687  0.09852141  0.09650911 ...  0.06220122  0.06486371
   0.05779319]
 [ 0.12093755  0.12123455  0.11861557 ...  0.00708715  0.01053387
   0.01135682]
 [ 0.05829583  0.05784348  0.06023524 ...  0.01240884  0.01087084
   0.009724  ]
 [ 0.00484895  0.00897003  0.00607478 ...  0.05872428  0.06096203
   0.06292973]]"	fearful
